height,miner_address,reward_bina,total_mined_bina,timestamp_unix
147,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7350,1783170451
148,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7400,1783170458
149,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7450,1783170461
150,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7500,1783170482
151,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7550,1783170493
152,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7600,1783170497
153,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7650,1783170501
154,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7700,1783170503
155,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7750,1783170503
156,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7800,1783170518
157,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7850,1783170519
158,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7900,1783170524
159,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7950,1783170544
160,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8000,1783170556
161,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8050,1783170558
162,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8100,1783170561
163,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8150,1783170582
164,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8200,1783170586
165,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8250,1783170593
166,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8300,1783170615
167,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8350,1783170619
168,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8400,1783170623
169,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8450,1783170632
170,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8500,1783170644
171,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8550,1783170644
172,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8600,1783170663
173,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8650,1783170664
174,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8700,1783170696
175,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8750,1783170714
176,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8800,1783170732
177,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8850,1783170737
178,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8900,1783170738
179,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,8950,1783170740
180,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9000,1783170745
181,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9050,1783170747
182,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9100,1783170750
183,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9150,1783170767
184,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9200,1783170780
185,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9250,1783170784
186,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9300,1783170794
187,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9350,1783170805
188,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9400,1783170830
189,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9450,1783170838
190,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9500,1783170841
191,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9550,1783170847
192,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9600,1783170852
193,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9650,1783170882
194,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9700,1783170890
195,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9750,1783170895
196,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9800,1783170914
197,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9850,1783170930
198,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9900,1783170931
199,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,9950,1783170950
200,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10000,1783170973
201,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10050,1783170977
202,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10100,1783170979
203,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10150,1783170992
204,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10200,1783170997
205,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10250,1783171030
206,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10300,1783171039
207,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10350,1783171084
208,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10400,1783171085
209,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10450,1783171097
210,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10500,1783171137
211,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10550,1783171149
212,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10600,1783171165
213,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10650,1783171166
214,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10700,1783171200
215,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10750,1783171252
216,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10800,1783171258
217,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10850,1783171277
